,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName
175,track,song,136975,1441132965,1441134003,The Beatles,The Beatles 1962-1966 (The Red Album),Michelle,The Beatles 1962-1966 (The Red Album),Michelle,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/michelle/1441132965?i=1441134003&uo=4,https://music.apple.com/us/album/michelle/1441132965?i=1441134003&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/ae/f3/e3/aef3e3a5-29db-70a2-8595-3609d298aefd/mzaf_2916665848914689823.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/100x100bb.jpg,12.99,1.29,1965-12-03T12:00:00Z,notExplicit,notExplicit,2,2,13,8,162453,USA,USD,Rock,True,
176,track,song,136975,1441164670,1441165143,The Beatles,Revolver,Doctor Robert,Revolver,Doctor Robert,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/doctor-robert/1441164670?i=1441165143&uo=4,https://music.apple.com/us/album/doctor-robert/1441164670?i=1441165143&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/26/a5/c7/26a5c7f3-b502-2234-362b-e3d874c7b1ee/mzaf_5612479209482244067.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d6/39/8f/d6398f41-545c-cddd-d309-d1dca21cc3f4/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d6/39/8f/d6398f41-545c-cddd-d309-d1dca21cc3f4/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d6/39/8f/d6398f41-545c-cddd-d309-d1dca21cc3f4/source/100x100bb.jpg,7.99,1.29,1966-06-20T12:00:00Z,notExplicit,notExplicit,1,1,14,11,134267,USA,USD,Rock,True,
177,track,song,136975,1441163490,1441163755,The Beatles,Magical Mystery Tour,"Hello, Goodbye",Magical Mystery Tour,"Hello, Goodbye",https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hello-goodbye/1441163490?i=1441163755&uo=4,https://music.apple.com/us/album/hello-goodbye/1441163490?i=1441163755&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/c4/97/ca/c497ca6e-25b0-9c5a-cda5-f5ba7d7b41b1/mzaf_9054089494131857535.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/ba/76/b1/ba76b1f6-3600-d9a9-8887-795f6127b2fb/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/ba/76/b1/ba76b1f6-3600-d9a9-8887-795f6127b2fb/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/ba/76/b1/ba76b1f6-3600-d9a9-8887-795f6127b2fb/source/100x100bb.jpg,7.99,1.29,1967-11-24T12:00:00Z,notExplicit,notExplicit,1,1,11,7,208840,USA,USD,Rock,True,
178,track,song,136975,1441164495,1441164953,The Beatles,Let It Be,Get Back,Let It Be,Get Back,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/get-back/1441164495?i=1441164953&uo=4,https://music.apple.com/us/album/get-back/1441164495?i=1441164953&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/3f/33/81/3f3381d0-318e-12b7-03d6-0c16ce37915a/mzaf_6181936195169557123.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/63/9b/2c/639b2caf-0186-39c3-b165-cac5eae1f38e/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/63/9b/2c/639b2caf-0186-39c3-b165-cac5eae1f38e/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/63/9b/2c/639b2caf-0186-39c3-b165-cac5eae1f38e/source/100x100bb.jpg,7.99,1.29,1969-04-11T12:00:00Z,notExplicit,notExplicit,1,1,12,12,187382,USA,USD,Rock,True,
179,track,song,136975,1441164359,1441164626,The Beatles,Rubber Soul,The Word,Rubber Soul,The Word,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/the-word/1441164359?i=1441164626&uo=4,https://music.apple.com/us/album/the-word/1441164359?i=1441164626&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/2f/f2/69/2ff269a9-45be-276b-d235-9766ae37a7f3/mzaf_5473728722008848453.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/4b/3b/6f/4b3b6fd1-56d9-db57-a599-86e9a3579fd3/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/4b/3b/6f/4b3b6fd1-56d9-db57-a599-86e9a3579fd3/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/4b/3b/6f/4b3b6fd1-56d9-db57-a599-86e9a3579fd3/source/100x100bb.jpg,7.99,1.29,1965-12-03T12:00:00Z,notExplicit,notExplicit,1,1,14,6,163107,USA,USD,Rock,True,
180,track,song,136975,1441164816,1441164819,The Beatles,Please Please Me,I Saw Her Standing There,Please Please Me,I Saw Her Standing There,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/i-saw-her-standing-there/1441164816?i=1441164819&uo=4,https://music.apple.com/us/album/i-saw-her-standing-there/1441164816?i=1441164819&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/9e/fa/9b/9efa9b59-ffc6-4456-aa47-49d54094da37/mzaf_3576657518798187263.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/89/43/86/894386ae-9107-9e92-8891-25f87c102ff3/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/89/43/86/894386ae-9107-9e92-8891-25f87c102ff3/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/89/43/86/894386ae-9107-9e92-8891-25f87c102ff3/source/100x100bb.jpg,7.99,1.29,1963-03-22T12:00:00Z,notExplicit,notExplicit,1,1,14,1,172947,USA,USD,Rock,True,
181,track,song,136975,1441132965,1441133731,The Beatles,The Beatles 1962-1966 (The Red Album),Norwegian Wood (This Bird Has Flown),The Beatles 1962-1966 (The Red Album),Norwegian Wood (This Bird Has Flown),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/norwegian-wood-this-bird-has-flown/1441132965?i=1441133731&uo=4,https://music.apple.com/us/album/norwegian-wood-this-bird-has-flown/1441132965?i=1441133731&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/15/7e/7a/157e7a8e-692d-9f57-734b-f7c31f4ecfc3/mzaf_7190642100285970268.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/100x100bb.jpg,12.99,1.29,1965-12-03T12:00:00Z,notExplicit,notExplicit,2,2,13,6,125187,USA,USD,Rock,True,
182,track,song,136975,1441132965,1441132990,The Beatles,The Beatles 1962-1966 (The Red Album),Please Please Me,The Beatles 1962-1966 (The Red Album),Please Please Me (Mono Version),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/please-please-me-mono-version/1441132965?i=1441132990&uo=4,https://music.apple.com/us/album/please-please-me-mono-version/1441132965?i=1441132990&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/98/d8/da/98d8da38-611c-a222-c400-2c0b2be7b043/mzaf_7272422004022037325.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/100x100bb.jpg,12.99,1.29,1963-01-11T12:00:00Z,notExplicit,notExplicit,2,1,13,2,121333,USA,USD,Rock,True,
183,track,song,136975,1441164524,1441164801,The Beatles,Help!,I've Just Seen a Face,Help!,I've Just Seen a Face,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/ive-just-seen-a-face/1441164524?i=1441164801&uo=4,https://music.apple.com/us/album/ive-just-seen-a-face/1441164524?i=1441164801&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/aa/a9/a0/aaa9a06a-7b27-dfc0-2352-868e8fd5a268/mzaf_3698600778358273460.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/93/c3/8f/93c38f80-85f1-fb06-1e94-e272f966d4c8/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/93/c3/8f/93c38f80-85f1-fb06-1e94-e272f966d4c8/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/93/c3/8f/93c38f80-85f1-fb06-1e94-e272f966d4c8/source/100x100bb.jpg,7.99,1.29,1965-08-06T12:00:00Z,notExplicit,notExplicit,1,1,14,12,125040,USA,USD,Rock,True,
184,track,song,136975,1441132965,1441133324,The Beatles,The Beatles 1962-1966 (The Red Album),From Me to You,The Beatles 1962-1966 (The Red Album),From Me to You (Mono Version),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/from-me-to-you-mono-version/1441132965?i=1441133324&uo=4,https://music.apple.com/us/album/from-me-to-you-mono-version/1441132965?i=1441133324&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/c0/2f/2a/c02f2a11-ea49-fab0-92ba-61bc595d314a/mzaf_6464589802057510536.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/37/ea/23/37ea235c-1c40-c896-4ec5-eba461650a99/source/100x100bb.jpg,12.99,1.29,1963-01-11T12:00:00Z,notExplicit,notExplicit,2,1,13,3,117907,USA,USD,Pop,True,
